Nuklid,e_inh,e_ing,LE,LA,CA
,[Sv/Bq],[Sv/Bq],[Bq/kg],[Bq],{Bq/m^3]
,,,,,
H-3,4.10E-011,4.20E-011,2.00E+005,1.00E+008,2.00E+005
"H-3,HTO",1.80E-011,1.80E-011,6.00E+005,3.00E+008,5.00E+005
"H-3,Gas",1.80E-015,0.00E+000,0.00E+000,3.00E+012,5.00E+009
Be-7,4.60E-011,2.80E-011,4.00E+005,1.00E+008,1.00E+005
Be-10,1.90E-008,1.10E-009,9.00E+003,3.00E+005,9.00E+001
C-11,3.20E-012,2.40E-011,4.00E+005,7.00E+007,7.00E+004
"C-11,Monoxyd",1.20E-012,1.20E-012,0.00E+000,7.00E+007,7.00E+004
"C-11,Dioxyd",2.20E-012,2.20E-012,0.00E+000,7.00E+007,7.00E+004
C-14,5.80E-010,5.80E-010,2.00E+004,9.00E+006,1.00E+004
"C-14,Monoxyd",8.00E-013,8.00E-013,0.00E+000,6.00E+009,1.00E+007
"C-14,Dioxyd",6.50E-012,6.50E-012,0.00E+000,8.00E+008,1.00E+006
N-13,0.00E+000,0.00E+000,0.00E+000,7.00E+007,7.00E+004
O-15,0.00E+000,0.00E+000,0.00E+000,7.00E+007,7.00E+004
F-18,9.30E-011,4.90E-011,2.00E+005,5.00E+007,7.00E+004
Na-22,2.00E-009,3.20E-009,3.00E+003,3.00E+006,4.00E+003
Na-24,5.30E-010,4.30E-010,2.00E+004,9.00E+006,3.00E+004
Mg-28/Al-28,1.70E-009,2.20E-009,5.00E+003,3.00E+006,6.00E+003
,,,,,
,,,,,
Al-26,1.40E-008,3.50E-009,3.00E+003,4.00E+005,4.00E+002
Si-31,1.10E-010,1.60E-010,6.00E+004,5.00E+007,1.00E+005
Si-32,5.50E-008,5.60E-010,2.00E+004,9.00E+004,3.00E+001
P-32,2.90E-009,2.40E-009,4.00E+003,2.00E+006,2.00E+003
P-33,1.30E-009,2.40E-010,4.00E+004,4.00E+006,1.00E+004
S-35_anorg,1.10E-009,1.90E-010,5.00E+004,5.00E+006,1.00E+004
S-35_org,1.20E-010,7.70E-010,1.00E+004,4.00E+007,7.00E+004
Cl-36,5.10E-009,9.30E-010,1.00E+004,1.00E+006,1.00E+003
Cl-38,7.30E-011,1.20E-010,8.00E+004,7.00E+007,4.00E+004
Cl-39,7.60E-011,8.50E-011,1.00E+005,7.00E+007,2.00E+005
Ar-37,0.00E+000,0.00E+000,0.00E+000,1.00E+014,1.00E+011
Ar-39,0.00E+000,0.00E+000,0.00E+000,3.00E+010,7.00E+006
Ar-41,0.00E+000,0.00E+000,0.00E+000,5.00E+007,5.00E+004
K-40,3.00E-009,6.20E-009,2.00E+003,2.00E+006,3.00E+003
K-42,2.00E-010,4.30E-010,2.00E+004,3.00E+007,2.00E+004
K-43,2.60E-010,2.50E-010,4.00E+004,2.00E+007,4.00E+004
K-44,3.70E-011,8.40E-011,1.00E+005,1.00E+008,3.00E+005
K-45,2.80E-011,5.40E-011,2.00E+005,2.00E+008,5.00E+005
Ca-41,1.90E-010,2.90E-010,3.00E+004,3.00E+007,3.00E+004
Ca-45,2.30E-009,7.60E-010,1.00E+004,2.00E+006,5.00E+003
Ca-47,2.10E-009,1.60E-009,6.00E+003,2.00E+006,4.00E+003
Sc-43,1.80E-010,1.90E-010,5.00E+004,3.00E+007,1.00E+005
Sc-44,3.00E-010,3.50E-010,3.00E+004,2.00E+007,7.00E+004
Sc-44m,2.00E-009,2.40E-009,4.00E+003,3.00E+006,4.00E+003
,,,,,
,,,,,
Sc-46,4.80E-009,1.50E-009,7.00E+003,1.00E+006,1.00E+003
Sc-47,7.30E-010,5.40E-010,2.00E+004,7.00E+006,1.00E+004
Sc-48,1.60E-009,1.70E-009,6.00E+003,3.00E+006,7.00E+003
Sc-49,6.10E-011,8.20E-011,1.00E+005,8.00E+007,3.00E+005
Ti-44,7.20E-008,5.80E-009,2.00E+003,7.00E+004,3.00E+002
Ti-45,1.50E-010,1.50E-010,7.00E+004,3.00E+007,2.00E+005
V-47,5.00E-011,6.30E-011,2.00E+005,1.00E+008,4.00E+005
V-48,2.70E-009,2.00E-009,5.00E+003,2.00E+006,3.00E+003
V-49,2.60E-011,1.80E-011,6.00E+005,2.00E+008,9.00E+004
Cr-48,2.50E-010,2.00E-010,5.00E+004,2.00E+007,3.00E+004
Cr-49,5.90E-011,6.10E-011,2.00E+005,8.00E+007,1.00E+005
